A137723: exhaustive scan to 100000000000 plus structural search (even endpoint <= 18446744073709551616) for even n
   n  a(n)                                      L = a(n)-1                      R = a(n)+n                      note
  43  15684                                     15683 (prime)                   15727 (prime)                   new
  44  274877906900                              274877906899 (prime)            274877906944 (2^38)             NEW (structural search)
  45  81464                                     81463 (prime)                   81509 (prime)                   new
  46  214994                                    214993 (prime)                  215040 (2^11*3*5*7)             new
  47  28230                                     28229 (prime)                   28277 (prime)                   new
  48  124368                                    124367 (prime)                  124416 (2^9*3^5)                new
  49  31908                                     31907 (prime)                   31957 (prime)                   new
  50  > 100000000000 (odd n) / > limit-n (even n)                                                                  
  51  19610                                     19609 (prime)                   19661 (prime)                   new
  52  748388                                    748387 (prime)                  748440 (2^3*3^5*5*7*11)         new
  53  35618                                     35617 (prime)                   35671 (prime)                   new
  54  306109962                                 306109961 (prime)               306110016 (2^6*3^14)            new
  55  82074                                     82073 (prime)                   82129 (prime)                   new
  56  268435400                                 268435399 (prime)               268435456 (2^28)                new
  57  44294                                     44293 (prime)                   44351 (prime)                   new
  58  360092                                    360091 (prime)                  360150 (2*3*5^2*7^4)            new
  59  43332                                     43331 (prime)                   43391 (prime)                   new
  60  2799300                                   2799299 (prime)                 2799360 (2^8*3^7*5)             new
  61  34062                                     34061 (prime)                   34123 (prime)                   new
  62  > 100000000000 (odd n) / > limit-n (even n)                                                                  
  63  89690                                     89689 (prime)                   89753 (prime)                   new
  64  10616833                                  10616832 (2^17*3^4)             10616897 (prime)                new
  65  162144                                    162143 (prime)                  162209 (prime)                  new
  66  5546311                                   5546310 (2*3*5*7^5*11)          5546377 (prime)                 new
  67  134514                                    134513 (prime)                  134581 (prime)                  new
  68  562949953421313                           562949953421312 (2^49)          562949953421381 (prime)         NEW (structural search)
  69  173360                                    173359 (prime)                  173429 (prime)                  new
  70  3779930                                   3779929 (prime)                 3780000 (2^5*3^3*5^4*7)         new
  71  31398                                     31397 (prime)                   31469 (prime)                   new
  72  2296278                                   2296277 (prime)                 2296350 (2*3^8*5^2*7)           new
  73  404598                                    404597 (prime)                  404671 (prime)                  new
  74  > 100000000000 (odd n) / > limit-n (even n)                                                                  
  75  212702                                    212701 (prime)                  212777 (prime)                  new
  76  24883124                                  24883123 (prime)                24883200 (2^12*3^5*5^2)         new
  77  188030                                    188029 (prime)                  188107 (prime)                  new
  78  860161                                    860160 (2^13*3*5*7)             860239 (prime)                  new
  79  542604                                    542603 (prime)                  542683 (prime)                  new
  80  562949953421232                           562949953421231 (prime)         562949953421312 (2^49)          NEW (structural search)
  81  155926                                    155925 (3^4*5^2*7*11)           156007 (prime)                  new
  82  8648558                                   8648557 (prime)                 8648640 (2^6*3^3*5*7*11*13)     new
  83  461718                                    461717 (prime)                  461801 (prime)                  new
  84  322486273                                 322486272 (2^14*3^9)            322486357 (prime)               new
  85  338034                                    338033 (prime)                  338119 (prime)                  new
  86  1099511627690                             1099511627689 (prime)           1099511627776 (2^40)            NEW (structural search)
  87  1155734                                   1155733 (prime)                 1155821 (prime)                 new
  88  52072021                                  52072020 (2^2*3^2*5*7*11*13*17^2)  52072109 (prime)                new
  89  404852                                    404851 (prime)                  404941 (prime)                  new
  90  335923110                                 335923109 (prime)               335923200 (2^11*3^8*5^2)        new
  91  927870                                    927869 (prime)                  927961 (prime)                  new
  92  1152921504606846884                       1152921504606846883 (prime)     1152921504606846976 (2^60)      NEW (structural search)
  93  1100978                                   1100977 (prime)                 1101071 (prime)                 new
  94  31701690482689                            31701690482688 (2^29*3^10)      31701690482783 (prime)          NEW (structural search)
  95  360654                                    360653 (prime)                  360749 (prime)                  new
  96  185794464                                 185794463 (prime)               185794560 (2^16*3^4*5*7)        new
  97  604074                                    604073 (prime)                  604171 (prime)                  new
  98  > 100000000000 (odd n) / > limit-n (even n)                                                                  
  99  396734                                    396733 (prime)                  396833 (prime)                  new
 100  84934657                                  84934656 (2^20*3^4)             84934757 (prime)                new
 101  1444310                                   1444309 (prime)                 1444411 (prime)                 new
 102  147456001                                 147456000 (2^17*3^2*5^3)        147456103 (prime)               new
 103  1388484                                   1388483 (prime)                 1388587 (prime)                 new
 104  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 105  1098848                                   1098847 (prime)                 1098953 (prime)                 new
 106  240844801                                 240844800 (2^16*3*5^2*7^2)      240844907 (prime)               new
 107  2238824                                   2238823 (prime)                 2238931 (prime)                 new
 108  1422489492                                1422489491 (prime)              1422489600 (2^11*3^4*5^2*7^3)   new
 109  1468278                                   1468277 (prime)                 1468387 (prime)                 new
 110  9007199254740882                          9007199254740881 (prime)        9007199254740992 (2^53)         NEW (structural search)
 111  370262                                    370261 (prime)                  370373 (prime)                  new
 112  153679568                                 153679567 (prime)               153679680 (2^6*3^4*5*7^2*11^2)  new
 113  492114                                    492113 (prime)                  492227 (prime)                  new
 114  16698832846849                            16698832846848 (2^36*3^5)       16698832846963 (prime)          NEW (structural search)
 115  5845194                                   5845193 (prime)                 5845309 (prime)                 new
 116  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 117  1349534                                   1349533 (prime)                 1349651 (prime)                 new
 118  314572801                                 314572800 (2^22*3*5^2)          314572919 (prime)               new
 119  1895360                                   1895359 (prime)                 1895479 (prime)                 new
 120  331775880                                 331775879 (prime)               331776000 (2^15*3^4*5^3)        new
 121  3117300                                   3117299 (prime)                 3117421 (prime)                 new
 122  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 123  6752624                                   6752623 (prime)                 6752747 (prime)                 new
 124  65810851921133444                         65810851921133443 (prime)       65810851921133568 (2^21*3^22)   NEW (structural search)
 125  1671782                                   1671781 (prime)                 1671907 (prime)                 new
 126  238140001                                 238140000 (2^5*3^5*5^4*7^2)     238140127 (prime)               new
 127  3851460                                   3851459 (prime)                 3851587 (prime)                 new
 128  2251799813685120                          2251799813685119 (prime)        2251799813685248 (2^51)         NEW (structural search)
 129  5518688                                   5518687 (prime)                 5518817 (prime)                 new
 130  338688001                                 338688000 (2^11*3^3*5^3*7^2)    338688131 (prime)               new
 131  1357202                                   1357201 (prime)                 1357333 (prime)                 new
 132  1107168749868                             1107168749867 (prime)           1107168750000 (2^4*3^11*5^8)    NEW (structural search)
 133  6958668                                   6958667 (prime)                 6958801 (prime)                 new
 134  4611686018427387905                       4611686018427387904 (2^62)      4611686018427388039 (prime)     NEW (structural search)
 135  6371402                                   6371401 (prime)                 6371537 (prime)                 new
 136  2043740161                                2043740160 (2^16*3^4*5*7*11)    2043740297 (prime)              new
 137  3826020                                   3826019 (prime)                 3826157 (prime)                 new
 138  6531615091                                6531615090 (2*3^3*5*7*11^2*13^4)  6531615229 (prime)              new
 139  7621260                                   7621259 (prime)                 7621399 (prime)                 new
 140  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 141  10343762                                  10343761 (prime)                10343903 (prime)                new
 142  367499999858                              367499999857 (prime)            367500000000 (2^8*3*5^10*7^2)   NEW (structural search)
 143  11981444                                  11981443 (prime)                11981587 (prime)                new
 144  7204542494255957664                       7204542494255957663 (prime)     7204542494255957808 (2^4*3^37)  NEW (structural search)
 145  6034248                                   6034247 (prime)                 6034393 (prime)                 new
 146  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 147  2010734                                   2010733 (prime)                 2010881 (prime)                 new
 148  4730879852                                4730879851 (prime)              4730880000 (2^15*3*5^4*7*11)    new
 149  13626258                                  13626257 (prime)                13626407 (prime)                new
 150  16747731001                               16747731000 (2^3*3^2*5^3*7*11^2*13^3)  16747731151 (prime)             new
 151  8421252                                   8421251 (prime)                 8421403 (prime)                 new
 152  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 153  4652354                                   4652353 (prime)                 4652507 (prime)                 new
 154  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 155  17983718                                  17983717 (prime)                17983873 (prime)                new
 156  3126242964                                3126242963 (prime)              3126243120 (2^4*3*5*7^2*11^2*13^3)  new
 157  49269582                                  49269581 (prime)                49269739 (prime)                new
 158  18014398509481985                         18014398509481984 (2^54)        18014398509482143 (prime)       NEW (structural search)
 159  33803690                                  33803689 (prime)                33803849 (prime)                new
 160  48599999999840                            48599999999839 (prime)          48600000000000 (2^12*3^5*5^11)  NEW (structural search)
 161  39175218                                  39175217 (prime)                39175379 (prime)                new
 162  4597292538                                4597292537 (prime)              4597292700 (2^2*3^8*5^2*7^2*11*13)  new
 163  20285100                                  20285099 (prime)                20285263 (prime)                new
 164  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 165  83751122                                  83751121 (prime)                83751287 (prime)                new
 166  26078975834                               26078975833 (prime)             26078976000 (2^11*3^3*5^3*7^3*11)  new
 167  37305714                                  37305713 (prime)                37305881 (prime)                new
 168  69672960001                               69672960000 (2^16*3^5*5^4*7)    69672960169 (prime)             new
 169  27915738                                  27915737 (prime)                27915907 (prime)                new
 170  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 171  38394128                                  38394127 (prime)                38394299 (prime)                new
 172  210108937501                              210108937500 (2^2*3^4*5^6*7^3*11^2)  210108937673 (prime)            NEW (structural search)
 173  52721114                                  52721113 (prime)                52721287 (prime)                new
 174  14409084988511915442                      14409084988511915441 (prime)    14409084988511915616 (2^5*3^37)  NEW (structural search)
 175  38089278                                  38089277 (prime)                38089453 (prime)                new
 176  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 177  39389990                                  39389989 (prime)                39390167 (prime)                new
 178  20258437501                               20258437500 (2^2*3^3*5^7*7^4)   20258437679 (prime)             new
 179  17051708                                  17051707 (prime)                17051887 (prime)                new
 180  72314827020                               72314827019 (prime)             72314827200 (2^6*3^2*5^2*7^3*11^4)  new
 181  36271602                                  36271601 (prime)                36271783 (prime)                new
 182  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 183  79167734                                  79167733 (prime)                79167917 (prime)                new
 184  6655833320221310792                       6655833320221310791 (prime)     6655833320221310976 (2^34*3^18)  NEW (structural search)
 185  147684138                                 147684137 (prime)               147684323 (prime)               new
 186  1771875001                                1771875000 (2^3*3^4*5^8*7)      1771875187 (prime)              new
 187  134065830                                 134065829 (prime)               134066017 (prime)               new
 188  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 189  142414670                                 142414669 (prime)               142414859 (prime)               new
 190  191265338881                              191265338880 (2^9*3^6*5*7*11^4)  191265339071 (prime)            NEW (structural search)
 191  123454692                                 123454691 (prime)               123454883 (prime)               new
 192  336213237361                              336213237360 (2^4*3*5*7^3*11*13^5)  336213237553 (prime)            NEW (structural search)
 193  166726368                                 166726367 (prime)               166726561 (prime)               new
 194  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 195  70396394                                  70396393 (prime)                70396589 (prime)                new
 196  303079096321                              303079096320 (2^18*3*5*7^2*11^2*13)  303079096517 (prime)            NEW (structural search)
 197  46006770                                  46006769 (prime)                46006967 (prime)                new
 198  72466143751                               72466143750 (2*3^4*5^5*7*11^2*13^2)  72466143949 (prime)             new
 199  378043980                                 378043979 (prime)               378044179 (prime)               new
 200  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 201  107534588                                 107534587 (prime)               107534789 (prime)               new
 202  3765727153080001                          3765727153080000 (2^6*3^23*5^4)  3765727153080203 (prime)        NEW (structural search)
 203  112098818                                 112098817 (prime)               112099021 (prime)               new
 204  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 205  232423824                                 232423823 (prime)               232424029 (prime)               new
 206  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 207  192983852                                 192983851 (prime)               192984059 (prime)               new
 208  45018750000001                            45018750000000 (2^7*3*5^11*7^4)  45018750000209 (prime)          NEW (structural search)
 209  20831324                                  20831323 (prime)                20831533 (prime)                new
 210  826455168001                              826455168000 (2^10*3^2*5^3*7^2*11^4)  826455168211 (prime)            NEW (structural search)
 211  215949408                                 215949407 (prime)               215949619 (prime)               new
 212  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 213  253878404                                 253878403 (prime)               253878617 (prime)               new
 214  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 215  202551668                                 202551667 (prime)               202551883 (prime)               new
 216  459165023999784                           459165023999783 (prime)         459165024000000 (2^11*3^15*5^6)  NEW (structural search)
 217  327966102                                 327966101 (prime)               327966319 (prime)               new
 218  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 219  47326694                                  47326693 (prime)                47326913 (prime)                new
 220  977961599780                              977961599779 (prime)            977961600000 (2^10*3^4*5^5*7^3*11)  NEW (structural search)
 221  122164748                                 122164747 (prime)               122164969 (prime)               new
 222  2864775513601                             2864775513600 (2^9*3^3*5^2*7^3*11*13^3)  2864775513823 (prime)           NEW (structural search)
 223  409866324                                 409866323 (prime)               409866547 (prime)               new
 224  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 225  519653372                                 519653371 (prime)               519653597 (prime)               new
 226  284093963774                              284093963773 (prime)            284093964000 (2^5*3^2*5^3*7^2*11^5)  NEW (structural search)
 227  895858040                                 895858039 (prime)               895858267 (prime)               new
 228  63166515211801                            63166515211800 (2^3*3^3*5^2*7*11^3*13^2*17*19*23)  63166515212029 (prime)          NEW (structural search)
 229  607010094                                 607010093 (prime)               607010323 (prime)               new
 230  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 231  525436490                                 525436489 (prime)               525436721 (prime)               new
 232  4289205560408                             4289205560407 (prime)           4289205560640 (2^6*3*5*7^5*11^2*13^3)  NEW (structural search)
 233  189695660                                 189695659 (prime)               189695893 (prime)               new
 234  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 235  216668604                                 216668603 (prime)               216668839 (prime)               new
 236  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 237  673919144                                 673919143 (prime)               673919381 (prime)               new
 238  2797632337501                             2797632337500 (2^2*3^3*5^5*7^3*11*13^3)  2797632337739 (prime)           NEW (structural search)
 239  391995432                                 391995431 (prime)               391995671 (prime)               new
 240  10420583701260                            10420583701259 (prime)          10420583701500 (2^2*3^11*5^3*7^6)  NEW (structural search)
 241  367876530                                 367876529 (prime)               367876771 (prime)               new
 242  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 243  693103640                                 693103639 (prime)               693103883 (prime)               new
 244  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 245  555142062                                 555142061 (prime)               555142307 (prime)               new
 246  340765286399754                           340765286399753 (prime)         340765286400000 (2^16*3^2*5^5*7^5*11)  NEW (structural search)
 247  191912784                                 191912783 (prime)               191913031 (prime)               new
 248  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 249  387096134                                 387096133 (prime)               387096383 (prime)               new
 250  58841562634471                            58841562634470 (2*3^10*5*7^7*11^2)  58841562634721 (prime)          NEW (structural search)
 251  630045138                                 630045137 (prime)               630045389 (prime)               new
 252  354360607271748                           354360607271747 (prime)         354360607272000 (2^6*3^17*5^3*7^3)  NEW (structural search)
 253  1202442090                                1202442089 (prime)              1202442343 (prime)              new
 254  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 255  1872851948                                1872851947 (prime)              1872852203 (prime)              new
 256  3608590985744                             3608590985743 (prime)           3608590986000 (2^4*3^4*5^3*7^2*11^2*13*17^2)  NEW (structural search)
 257  1316355324                                1316355323 (prime)              1316355581 (prime)              new
 258  12694994583551742                         12694994583551741 (prime)       12694994583552000 (2^18*3^18*5^3)  NEW (structural search)
 259  944192808                                 944192807 (prime)               944193067 (prime)               new
 260  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 261  1649328998                                1649328997 (prime)              1649329259 (prime)              new
 262  5303305507238                             5303305507237 (prime)           5303305507500 (2^2*3^8*5^4*7*11*13*17*19)  NEW (structural search)
 263  2357881994                                2357881993 (prime)              2357882257 (prime)              new
 264  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 265  1438779822                                1438779821 (prime)              1438780087 (prime)              new
 266  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 267  1579306790                                1579306789 (prime)              1579307057 (prime)              new
 268  36172586800351                            36172586800350 (2*3^3*5^2*7^2*11^4*13^3*17)  36172586800619 (prime)          NEW (structural search)
 269  1391048048                                1391048047 (prime)              1391048317 (prime)              new
 270  21181142020501                            21181142020500 (2^2*3^10*5^3*7^2*11^4)  21181142020771 (prime)          NEW (structural search)
 271  1851255192                                1851255191 (prime)              1851255463 (prime)              new
 272  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 273  1282463270                                1282463269 (prime)              1282463543 (prime)              new
 274  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 275  649580172                                 649580171 (prime)               649580447 (prime)               new
 276  209563200000001                           209563200000000 (2^12*3^5*5^8*7^2*11)  209563200000277 (prime)         NEW (structural search)
 277  4260928602                                4260928601 (prime)              4260928879 (prime)              new
 278  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 279  1855047164                                1855047163 (prime)              1855047443 (prime)              new
 280  10274230536290                            10274230536289 (prime)          10274230536570 (2*3^3*5*7*11^4*13^5)  NEW (structural search)
 281  436273010                                 436273009 (prime)               436273291 (prime)               new
 282  392841187201                              392841187200 (2^7*3^13*5^2*7*11)  392841187483 (prime)            NEW (structural search)
 283  1667186460                                1667186459 (prime)              1667186743 (prime)              new
 284  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 285  2842739312                                2842739311 (prime)              2842739597 (prime)              new
 286  1446039226782720001                       1446039226782720000 (2^13*3^24*5^4)  1446039226782720287 (prime)     NEW (structural search)
 287  1294268492                                1294268491 (prime)              1294268779 (prime)              new
 288  508463628751                              508463628750 (2*3^4*5^4*7^3*11^4)  508463629039 (prime)            NEW (structural search)
 289  1948819134                                1948819133 (prime)              1948819423 (prime)              new
 290  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 291  1453168142                                1453168141 (prime)              1453168433 (prime)              new
 292  198300815212208                           198300815212207 (prime)         198300815212500 (2^2*3^5*5^5*7^3*11^4*13)  NEW (structural search)
 293  5692630190                                5692630189 (prime)              5692630483 (prime)              new
 294  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 295  5260030512                                5260030511 (prime)              5260030807 (prime)              new
 296  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 297  8650524584                                8650524583 (prime)              8650524881 (prime)              new
 298  1996521468923521                          1996521468923520 (2^7*3^3*5*7^2*11^9)  1996521468923819 (prime)        NEW (structural search)
 299  4758958742                                4758958741 (prime)              4758959041 (prime)              new
 300  9640261511884500                          9640261511884499 (prime)        9640261511884800 (2^12*3^23*5^2)  NEW (structural search)
 301  6675573498                                6675573497 (prime)              6675573799 (prime)              new
 302  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 303  2433630110                                2433630109 (prime)              2433630413 (prime)              new
 304  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 305  3917587238                                3917587237 (prime)              3917587543 (prime)              new
 306  17311748904451                            17311748904450 (2*3^3*5^2*7^4*11*13^4*17)  17311748904757 (prime)          NEW (structural search)
 307  5490459102                                5490459101 (prime)              5490459409 (prime)              new
 308  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 309  4024713662                                4024713661 (prime)              4024713971 (prime)              new
 310  71062060829761                            71062060829760 (2^6*3^10*5*7*11*13^2*17^2)  71062060830071 (prime)          NEW (structural search)
 311  6570018348                                6570018347 (prime)              6570018659 (prime)              new
 312  238133575368                              238133575367 (prime)            238133575680 (2^17*3*5*7*11^3*13)  NEW (structural search)
 313  8948418750                                8948418749 (prime)              8948419063 (prime)              new
 314  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 315  12109172294                               12109172293 (prime)             12109172609 (prime)             new
 316  96508945312501                            96508945312500 (2^2*3*5^10*7^7)  96508945312817 (prime)          NEW (structural search)
 317  4372999722                                4372999721 (prime)              4373000039 (prime)              new
 318  9614844360351562501                       9614844360351562500 (2^2*3^8*5^16*7^4)  9614844360351562819 (prime)     NEW (structural search)
 319  2300942550                                2300942549 (prime)              2300942869 (prime)              new
 320  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 321  7961074442                                7961074441 (prime)              7961074763 (prime)              new
 322  1555651101311678                          1555651101311677 (prime)        1555651101312000 (2^10*3^15*5^3*7*11^2)  NEW (structural search)
 323  10958687880                               10958687879 (prime)             10958688203 (prime)             new
 324  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 325  5837935374                                5837935373 (prime)              5837935699 (prime)              new
 326  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 327  13086861182                               13086861181 (prime)             13086861509 (prime)             new
 328  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 329  6291356010                                6291356009 (prime)              6291356339 (prime)              new
 330  448408436726251                           448408436726250 (2*3^11*5^4*7^2*11*13*17^2)  448408436726581 (prime)         NEW (structural search)
 331  5893180122                                5893180121 (prime)              5893180453 (prime)              new
 332  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 333  30827138510                               30827138509 (prime)             30827138843 (prime)             new
 334  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 335  3842610774                                3842610773 (prime)              3842611109 (prime)              new
 336  1094833807747681                          1094833807747680 (2^5*3*5*7*11*13^6*17*19^2)  1094833807748017 (prime)        NEW (structural search)
 337  22076314314                               22076314313 (prime)             22076314651 (prime)             new
 338  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 339  8605261448                                8605261447 (prime)              8605261787 (prime)              new
 340  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 341  12010745570                               12010745569 (prime)             12010745911 (prime)             new
 342  151996487423753898                        151996487423753897 (prime)      151996487423754240 (2^50*3^3*5)  NEW (structural search)
 343  19724087268                               19724087267 (prime)             19724087611 (prime)             new
 344  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 345  11291401838                               11291401837 (prime)             11291402183 (prime)             new
 346  3825175061307601                          3825175061307600 (2^4*3^3*5^2*7*11^6*13^4)  3825175061307947 (prime)        NEW (structural search)
 347  17002876644                               17002876643 (prime)             17002876991 (prime)             new
 348  472399152225001                           472399152225000 (2^3*3*5^5*7^2*11^3*13*17*19*23)  472399152225349 (prime)         NEW (structural search)
 349  16808773278                               16808773277 (prime)             16808773627 (prime)             new
 350  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 351  30750892802                               30750892801 (prime)             30750893153 (prime)             new
 352  1657317582140221                          1657317582140220 (2^2*3^12*5*7^3*11^2*13*17^2)  1657317582140573 (prime)        NEW (structural search)
 353  4302407360                                4302407359 (prime)              4302407713 (prime)              new
 354  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 355  24355072518                               24355072517 (prime)             24355072873 (prime)             new
 356  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 357  16792321340                               16792321339 (prime)             16792321697 (prime)             new
 358  58467734066531432                         58467734066531431 (prime)       58467734066531790 (2*3^9*5*7*11^2*13*17^5*19)  NEW (structural search)
 359  20068818198                               20068818197 (prime)             20068818557 (prime)             new
 360  37031575569738390                         37031575569738389 (prime)       37031575569738750 (2*3^3*5^4*7^8*11^4*13)  NEW (structural search)
 361  35877724602                               35877724601 (prime)             35877724963 (prime)             new
 362  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 363  25425617318                               25425617317 (prime)             25425617681 (prime)             new
 364  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 365  20108776098                               20108776097 (prime)             20108776463 (prime)             new
 366  159621298043947374                        159621298043947373 (prime)      159621298043947740 (2^2*3^6*5*7*11^3*13*17*19*23^4)  NEW (structural search)
 367  51430518414                               51430518413 (prime)             51430518781 (prime)             new
 368  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 369  59942358572                               59942358571 (prime)             59942358941 (prime)             new
 370  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 371  20404137780                               20404137779 (prime)             20404138151 (prime)             new
 372  4311503269032588                          4311503269032587 (prime)        4311503269032960 (2^10*3^7*5*7*11^4*13*17^2)  NEW (structural search)
 373  23064761664                               23064761663 (prime)             23064762037 (prime)             new
 374  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 375  16161669788                               16161669787 (prime)             16161670163 (prime)             new
 376  460463558737477681                        460463558737477680 (2^4*3^7*5*7^11*11^3)  460463558737478057 (prime)      NEW (structural search)
 377  38116957820                               38116957819 (prime)             38116958197 (prime)             new
 378  6283127355605101                          6283127355605100 (2^2*3^2*5^2*7^5*11*13*17^2*19*23^2)  6283127355605479 (prime)        NEW (structural search)
 379  23323808742                               23323808741 (prime)             23323809121 (prime)             new
 380  > 100000000000 (odd n) / > limit-n (even n)                                                                  
 381  10726904660                               10726904659 (prime)             10726905041 (prime)             new
 382  39714510836800801                         39714510836800800 (2^5*3^3*5^2*7^2*11^2*13^3*17*19^2*23)  39714510836801183 (prime)       NEW (structural search)
